,Speed (thousands of feet per second),Altitude (thousands of feet)
275,432.0,316.0
276,432.0,315.0
277,431.0,314.0
278,431.0,313.0
279,431.0,312.0
280,431.0,311.0
281,431.0,310.0
282,431.0,309.0
283,431.0,308.0
284,430.0,307.0
285,430.0,306.0
286,430.0,305.0
287,430.0,304.0
288,430.0,303.0
289,430.0,302.0
290,430.0,301.0
291,429.0,300.0
292,429.0,299.0
293,429.0,298.0
294,429.0,297.0
295,429.0,296.0
296,429.0,295.0
297,429.0,294.0
298,428.0,293.0
299,428.0,292.0
300,428.0,291.0
301,428.0,290.0
302,428.0,289.0
303,428.0,288.0
304,427.0,287.0
305,427.0,286.0
306,427.0,285.0
307,427.0,284.0
308,427.0,283.0
309,427.0,282.0
310,427.0,281.0
311,426.0,280.0
312,426.0,279.0
313,426.0,278.0
314,426.0,277.0
315,426.0,276.0
316,426.0,275.0
317,425.0,274.0
318,425.0,273.0
319,425.0,272.0
320,425.0,271.0
321,425.0,270.0
322,425.0,269.0
323,425.0,268.0
324,424.0,267.0
325,424.0,266.0
326,424.0,265.0
327,424.0,264.0
328,424.0,263.0
329,424.0,262.0
330,423.0,261.0
331,423.0,260.0
332,423.0,259.0
333,423.0,258.0
334,423.0,257.0
335,423.0,256.0
336,423.0,255.0
337,422.0,254.0
338,422.0,253.0
339,422.0,252.0
340,422.0,251.0
341,422.0,250.0
342,422.0,249.0
343,421.0,248.0
344,421.0,247.0
345,421.0,590.0
346,421.0,589.0
347,421.0,588.0
348,421.0,587.0
349,421.0,585.9999999999999
350,420.0,584.9999999999999
351,420.0,584.0
352,420.0,583.0
353,420.0,582.0
354,420.0,581.0
355,420.0,580.0
356,419.0,579.0
357,419.0,578.0
358,419.0,577.0
359,419.0,576.0
360,419.0,575.0
361,419.0,574.0000000000001
362,418.0,573.0000000000001
363,418.0,572.0
364,418.0,571.0
365,418.0,570.0
366,418.0,569.0
367,418.0,568.0
368,417.0,567.0
369,417.0,566.0
370,417.0,565.0
371,417.0,564.0
372,417.0,563.0
373,417.0,562.0
374,416.0,561.0
375,416.0,560.0
376,416.0,559.0
377,416.0,558.0
378,416.0,557.0
379,416.0,556.0
380,415.0,555.0
381,415.0,554.0
382,415.0,553.0
383,415.0,552.0
384,415.0,551.0
385,415.0,550.0
386,414.0,549.0
387,414.0,548.0
388,414.0,547.0
389,414.0,546.0
390,414.0,545.0
391,414.0,544.0
392,413.0,543.0
393,413.0,542.0
394,413.0,541.0
395,413.0,540.0
396,413.0,539.0
397,413.0,538.0
398,412.0,537.0
399,412.0,536.0
400,412.0,535.0
401,412.0,534.0
402,412.0,533.0
403,412.0,532.0
404,411.0,531.0
405,411.0,530.0
406,411.0,529.0
407,411.0,528.0
408,410.0,527.0
409,410.0,526.0
410,410.0,525.0
411,410.0,524.0
412,409.0,523.0
413,409.0,522.0
414,409.0,521.0
415,409.0,520.0
416,408.0,519.0
417,408.0,518.0
418,408.0,517.0
419,408.0,516.0
420,407.0,515.0
421,407.0,514.0
422,407.0,513.0
423,407.0,512.0
424,406.0,511.00000000000006
425,406.0,510.0
426,406.0,509.0
427,406.0,508.0
428,405.0,507.0
429,405.0,506.0
430,405.0,505.0
431,405.0,504.0
432,404.0,503.0
433,404.0,502.0
434,404.0,501.0
435,404.0,500.0
436,403.0,499.0
437,403.0,498.0
438,403.0,497.0
439,403.0,496.0
440,402.0,495.0
441,402.0,494.0
442,402.0,493.0
443,402.0,492.0
444,401.0,491.0
445,401.0,490.0
446,401.0,489.0
447,401.0,488.0
448,400.0,487.0
449,400.0,486.0
450,400.0,485.0
451,400.0,484.0
452,399.0,483.0
453,399.0,482.0
454,399.0,481.0
455,399.0,480.0
456,536.0,479.0
457,536.0,478.0
458,536.0,477.0
459,536.0,476.0
460,535.0,475.0
461,535.0,474.0
462,535.0,473.0
463,536.0,472.0
464,536.0,471.0
465,536.0,470.0
466,536.0,469.0
467,399.0,468.0
468,399.0,467.0
469,400.5,466.0
470,402.5,465.0
471,404.5,464.0
472,406.0,463.0
473,407.5,462.0
474,409.5,461.0
475,411.5,460.0
476,413.0,459.0
477,414.5,458.0
478,416.5,457.0
479,418.5,456.0
480,420.5,455.0
481,423.5,454.0
482,427.0,453.0
483,430.5,452.0
484,434.5,451.0
485,438.0,450.0
486,441.5,449.0
487,445.0,448.0
488,448.5,447.0
489,452.5,446.0
490,456.0,445.0
491,459.5,444.0
492,463.0,443.0
493,431.75,442.0
494,331.5,441.0
495,335.0,440.0
496,338.5,439.0
497,342.0,438.0
498,345.5,437.0
499,349.5,436.0
500,353.0,435.0
501,356.5,434.0
502,360.5,433.0
503,364.5,432.0
504,368.5,431.0
505,372.5,430.0
506,376.5,429.0
507,381.0,428.0
508,386.5,427.0
509,392.0,426.0
510,396.5,425.0
511,262.5,424.0
512,266.5,423.0
513,270.0,422.0
514,273.5,421.0
515,277.0,420.0
516,280.5,419.0
517,284.5,763.0
518,288.5,762.0
519,293.0,761.0
520,298.0,759.9999999999999
521,303.5,759.0
522,309.0,758.0
523,314.0,757.0
524,319.0,756.0
525,323.5,755.0
526,293.25,754.0
527,195.0,753.0
528,199.5,752.0
529,203.5,751.0
530,208.0,750.0
531,212.5,749.0000000000001
532,217.0,748.0
533,222.0,747.0
534,227.0,746.0
535,232.5,745.0
536,238.5,744.0
537,244.5,743.0000000000001
538,250.0,742.0
539,253.5,740.9999999999999
540,257.5,740.0
541,127.0,739.0
542,133.5,738.0
543,138.5,737.0
544,140.0,736.0
545,139.0,734.9999999999999
546,139.0,734.0
547,138.0,733.0
548,138.0,732.0
549,137.0,731.0
550,137.0,730.0
551,136.0,729.0
552,136.0,727.9999999999999
553,135.0,727.0
554,135.0,726.0000000000001
555,134.0,725.0
556,134.0,724.0
557,133.0,723.0
558,133.0,722.0
559,132.0,721.0
560,132.0,720.0
561,131.0,719.0
562,130.0,718.0
563,130.0,717.0
564,129.0,716.0
565,129.0,715.0
566,128.0,714.0
567,127.0,713.0000000000001
568,127.0,712.0
569,126.0,710.9999999999999
570,126.0,710.0
571,125.0,709.0
572,125.0,708.0
573,124.0,707.0
574,260.0,706.0
575,260.0,705.0
576,259.0,704.0
577,259.0,703.0
578,258.0,702.0
579,258.0,701.0
580,257.0,700.0
581,256.0,699.0
582,256.0,698.0
583,255.0,697.0
584,254.0,696.0
585,254.0,695.0
586,253.0,694.0
587,252.0,693.0
588,252.0,692.0
589,251.0,691.0
590,250.0,690.0
591,250.0,689.0
592,249.0,688.0
593,248.0,687.0
594,247.0,686.0
595,247.0,685.0
596,246.0,684.0
597,245.0,683.0
598,245.0,682.0
599,244.0,681.0
600,243.0,680.0
601,243.0,679.0
602,242.0,678.0
603,241.0,677.0
604,241.0,676.0
605,240.00000000000003,675.0
606,239.0,674.0
607,239.0,673.0
608,238.0,672.0
609,237.0,671.0
610,236.0,670.0
611,236.0,669.0
612,235.0,668.0
613,234.0,667.0
614,233.0,666.0
615,232.0,665.0
616,231.0,664.0
617,231.0,663.0
618,230.00000000000003,662.0
619,229.0,661.0
620,227.99999999999997,660.0
621,227.0,659.0
622,226.0,658.0
623,226.0,657.0
624,225.0,656.0
625,224.0,655.0
626,223.0,654.0
627,222.0,653.0
628,221.0,652.0
629,221.0,651.0
630,220.0,650.0
631,219.0,649.0
632,218.0,648.0
633,217.0,647.0
