,distance,altitude,velocity,mass,time
0,0.0,0.0,0.0,1534.0,0.0
1,4.304524224324492,1.0734331160783768,88.93865382715937,1534.0,0.1000100010001
2,17.33156661327267,4.198285106569529,179.2353109575952,1490.857142857143,0.2000200020002
3,39.29520979014752,9.064057290554047,270.9230217254456,1490.857142857143,0.3000300030003
4,70.3563191716596,15.5680488422513,364.01049931257234,1447.7142857142858,0.4000400040004
5,110.66969809654358,23.645784080028534,458.5271738511344,1447.7142857142858,0.5000500050005
6,160.3892793638056,33.25283692777157,554.5074757508659,1404.5714285714287,0.6000600060006
7,219.67010520419262,44.35739801824093,651.9872884004125,1404.5714285714287,0.7000700070007
8,288.6691243924313,56.936355620622635,751.0004523611727,1361.4285714285716,0.8000800080008
9,367.54527512731727,70.97292222827673,851.5753281845307,1361.4285714285716,0.9000900090009001
10,456.4593191815341,86.45508690923452,953.7358206068805,1318.2857142857144,1.000100010001
11,555.5733073491879,103.3745017722249,1057.496122909217,1318.2857142857144,1.1001100110011
12,665.0506070327759,121.72576970979571,1162.8972369593184,1275.1428571428573,1.2001200120012
13,785.0669920173056,141.50775659829378,1270.1512217515944,1275.1428571428573,1.3001300130013
14,915.8113338389091,162.7232477813959,1379.2679794884384,1232.0000000000002,1.4001400140014
15,1057.4716173248494,185.3763014897704,1490.2781526976762,1232.0000000000002,1.5001500150015001
16,1210.2408838355411,209.47298783063889,1603.2424272238022,1188.8571428571431,1.6001600160016
17,1374.3184855656916,235.02138416469097,1718.2309384874482,1188.8571428571431,1.7001700170017
18,1549.910770993861,262.03151028603315,1835.317207577444,1145.714285714286,1.8001800180018002
19,1737.2312913369876,290.5152151323855,1954.5755210677319,1145.714285714286,1.9001900190019
20,1936.5011109102297,320.48610155656934,2076.086437693327,1102.571428571429,2.000200020002
21,2147.9493826807566,351.9595083296299,2199.9341029225475,1102.571428571429,2.1002100210021
22,2371.81384012165,384.95249170064926,2326.2093508158114,1059.4285714285718,2.2002200220022
23,2608.3412771308745,419.4838158264756,2455.005929812759,1059.4285714285718,2.3002300230023
24,2857.7881707422584,455.5739720761776,2586.4272054331923,1016.2857142857147,2.4002400240024
25,3120.421570698382,493.2452433630824,2720.5836637979482,1016.2857142857147,2.5002500250025
26,3396.5193830618896,532.5216860212386,2857.5829299853513,973.1428571428576,2.6002600260026
27,3686.3703595394154,573.4290754832327,2997.5416713200348,973.1428571428576,2.7002700270027002
28,3990.2756028814356,615.9950718395412,3140.591171433773,930.0000000000005,2.8002800280028
29,4308.549662684957,660.2493276111782,3286.872259883517,930.0000000000005,2.9002900290029
30,4641.521533434537,706.2235829941928,3436.5362771606133,886.8571428571433,3.0003000300030003
31,4989.5357539639635,753.9517761953175,3589.746166030851,886.8571428571433,3.1003100310031
32,5352.95362191542,803.4701702855527,3746.677709497778,843.7142857142862,3.2003200320032
33,5732.154538964332,854.8174981400371,3907.5209396073856,843.7142857142862,3.3003300330033003
34,6127.53750520338,908.0351274088025,4072.481746125295,800.5714285714291,3.4003400340034
35,6539.522784237077,963.1672479212284,4213.066263939042,800.5714285714291,3.5003500350035
36,6957.091521457625,1018.7334432825446,4212.319688252916,793.380952380953,3.6003600360036003
37,7374.626132461703,1073.9820379205048,4211.576075100973,793.380952380953,3.7003700370037
38,7792.085204478888,1128.9075999855995,4209.998874028148,217.0,3.8003800380038
39,8209.427445761119,1183.504752587527,4208.42653296342,217.0,3.9003900390039004
40,8626.653106725287,1237.7736096456647,4206.859035765349,217.0,4.000400040004
41,9043.76243614827,1291.7142845503986,4205.296366373337,217.0,4.1004100410041
42,9460.755681174616,1345.3268901519477,4203.738508806947,217.0,4.2004200420042
43,9877.633087324193,1398.61153877154,4202.185447165259,217.0,4.3004300430043
44,10294.394898499748,1451.568342205137,4200.637165626198,217.0,4.4004400440044
45,10711.041356994441,1504.1974117159843,4199.0936484458925,217.0,4.5004500450045
46,11127.572703499301,1556.4988580681384,4197.55487995802,217.0,4.6004600460046
47,11543.98917711063,1608.472791492939,4196.020844573166,217.0,4.7004700470047
48,11960.291015337343,1660.1193217262626,4194.491526778184,217.0,4.8004800480048
49,12376.478454108268,1711.4385579936206,4192.966911135563,217.0,4.9004900490049
50,12792.551727779377,1762.4306090138853,4191.446982282795,217.0,5.000500050005
51,13208.51106914096,1813.0955830179155,4189.931724931748,217.0,5.1005100510051005
52,13624.356709424756,1863.4335877373815,4188.421123868046,217.0,5.2005200520052
53,14040.088878311,1913.4447304271162,4186.915163950452,217.0,5.3005300530053
54,14455.707803935473,1963.129117835313,4185.41383011025,217.0,5.4005400540054005
55,14871.213712896419,2012.4868562556803,4183.917107350643,217.0,5.5005500550055
56,15286.606830261482,2061.518051482737,4182.424980746141,217.0,5.6005600560056
57,15701.88737957454,2110.2228088490665,4180.9374354419615,217.0,5.7005700570057005
58,16117.055582862513,2158.60123321414,4179.454456653435,217.0,5.8005800580058
59,16532.111660642084,2206.6534289829433,4177.9760296654085,217.0,5.9005900590059
60,16947.055831926427,2254.379500091076,4176.502139831659,217.0,6.0006000600060005
61,17361.88831423183,2301.7795500159264,4175.032772574306,217.0,6.1006100610061
62,17776.609323584278,2348.853681784123,4173.56791338323,217.0,6.2006200620062
63,18191.219074525987,2395.6019979789853,4172.107547815495,217.0,6.300630063006301
64,18605.717780121904,2442.024600725621,4170.65166149478,217.0,6.4006400640064
65,19020.105651966147,2488.12159172073,4169.200240110796,217.0,6.5006500650065
66,19434.382900188368,2533.8930722139776,4167.753269418736,217.0,6.600660066006601
